Wall Schedule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,Assembly Code,Assembly Description,Base Constraint,Family and Type,Length,Structural Material,Top Constraint,Type,Width
60 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',1' - 6",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
88 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',1' - 11 17/32",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
420 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 8",7' - 8",Clad - White,Up to level: Level 5,EXT W - 8",0' - 8"
388 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',6' - 5 19/32",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
184 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1'9",3' - 0 23/32",Clad - White,Up to level: Level 5,EXT W - 1'9",1' - 9"
788 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 9",13' - 1 11/16",Clad - White,Up to level: Level 5,EXT W - 9",0' - 9"
200 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",3' - 5 1/2",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
50 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",1' - 4",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
400 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",6' - 9 1/2",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
545 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",9' - 0 31/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
215 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",3' - 10",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
230 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",4' - 0",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
370 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",6' - 8",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
1352 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",23' - 7 1/4",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
195 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",3' - 8 31/32",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
710 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 6",11' - 10",Clad - White,Up to level: Level 5,EXT W - 6",0' - 6"
231 SF,B2010,Exterior Walls,Ground Level,Basic Wall: EXT W - 1',2' - 10 1/4",Clad - White,Up to level: Level 5,EXT W - 1',1' - 0"
